,text,labels
154,The influence of mechanical cleaning of platinum electrodes differing in size on redox measurements in diluted buffer solutions,O O O O B-Agr O B-Agr B-Agr O O B-Agr O O B-Agr O O O B-Agr
155,These effects of vitamin D deficiency on plasma T3 levels look to be reversible vitamin D subjunction after a menstruation of vitamin D deficiency lowered T3 levels,O B-Agr O B-Agr I-Agr O O O O B-Agr O O O O B-Agr I-Agr O O O O O B-Agr I-Agr O O O B-Agr
156,Application techniques are poorly understood and are hindering experimentation as well as commercial application,B-Agr B-Agr O O O O O O B-Agr O O O O B-Agr
157,Testing for the sterol divide enabled eight sterols to be separated and tentatively analyze by gas-liquid chromatography,B-Agr O O B-Agr O O O B-Agr O O O O O O O B-Agr B-Agr
158,Eight groups of citrous-fruit varieties grown in Spain were admit in this study,O B-Agr O B-Agr B-Agr O O B-Agr O O O O O
159,Kinghorn at various stages of senescence showed no significant change in fatty acid saturation with advancing senescence,O O O B-Agr O B-Agr O O O O O O O B-Agr O O B-Agr
160,Heart and pulmonary complex look to be slower (in growth) liken with stomach intestine liver and kidneys,B-Agr O O O O O O O O B-Agr O O B-Agr O B-Agr O B-Agr
161,Copper and calcium oxychloride controlled downy mildew somewhat better than mancozeb without affecting yield and succus quality,B-Agr O B-Agr O O O O O O O B-Agr O O O O O B-Agr
162,The deduction of the results for the photosynthetic efficiency of maize at unfavourable temperatures are discourse,O O O O B-Agr O O O B-Agr O B-Agr O O B-Agr O O
163,Different waste paper collection methods are examined: (1) differentiated collection; (2) collection through downstream selection of solid urban wastes; (3) collection carried out with the collaboration of schools; (4) collection carried out in decentralized points in the district territory; (5) a flower in exchange for your waste paper collection,O B-Agr I-Agr B-Agr B-Agr O O O O B-Agr O B-Agr O O B-Agr O O B-Agr B-Agr O B-Agr O O O O B-Agr O B-Agr O B-Agr O O O O B-Agr O O O B-Agr O O O O O O O B-Agr I-Agr B-Agr
164,addition in seed size was besides dependant on a higher number of cells in the endosperm suggesting that endosperm cell number more than cell size plays an of-import role in controlling the final size of maize grain,O O B-Agr I-Agr O O O O O O O O B-Agr O O B-Agr O O B-Agr B-Agr O O O B-Agr I-Agr O O O O O O O O I-Agr O B-Agr B-Agr
165,Flavour and dry affair message were the most of-import quality factors bespeak by local farmers,B-Agr O B-Agr I-Agr I-Agr O O O O B-Agr B-Agr O O O B-Agr
166,This was due to changes in chemical composition (increase in crude fibre and reduction in protein and crude fat) and to lowered digestibility,O O O O O O B-Agr I-Agr O O B-Agr I-Agr O B-Agr O O O B-Agr I-Agr O O O B-Agr
167,The fungus reason necrosis and small cankers on the main stems,O O O B-Agr O O B-Agr O O O B-Agr
