text,labels
The exiguity of water resources in southern hot-dry climate urged the Section of Bari of the Experimental Institute for Viticulture to study the problem from the point of view of a maximization of the few resources available,O O O B-Agr I-Agr O O O B-Agr O O O O O O O O O O B-Agr O O O O O O O O O O O O O O O I-Agr O
In particular they concentrated their attention on the minimum quantities of water necessary to supply a production of a cetain quality and quantity as well as on the best ways for distributing it,O O O O O O O O O O O B-Agr O O B-Agr O B-Agr O O O B-Agr O O O O O O O O O O O O
On a total of 207 catfish examined none showed the presence of Salmonella sp,O O O O O O O O O O O O B-Agr O
The research must be repeated in the same environment now conditioned by the purification plant,O B-Agr O O O O O O B-Agr O O O O B-Agr O
The action has been compared with that of a quaternary ammonium salt and Iodophore,O O O O O O O O O B-Agr B-Agr O O O
Dichlorophen with the same times of exposition and concentrations has been found to be slightly more effective against swine vesicular disease,B-Agr O O O B-Agr O B-Agr O O O O O O O O O O O B-Agr O O
The combining ability and inheritance studies were made for pod length seeds per pod and 100-seed weight,O B-Agr I-Agr O B-Agr O O O O O B-Agr B-Agr O O O O I-Agr
The combining ability analysis indicated that both additive and non-additive type of gene action were important for all the characters,O B-Agr I-Agr B-Agr O O O O O O O O O O O O O O O O
The heritability of general combining ability was much higher than that of specific combining ability for all the characters,O B-Agr O O B-Agr I-Agr O O O O O O O B-Agr I-Agr O O O O
The studies also indicated that higher pod length and high 100-seed weight was probably governed by recessive genes and higher seeds per pod by dominant genes,O O O O O O O B-Agr O O O I-Agr O O O O B-Agr I-Agr O O B-Agr O O O B-Agr I-Agr
The graphical and combining ability analyses revealed partial dominance for all these characters,O O O B-Agr I-Agr O O O O O O O O
H 70-16 was found to be the best general combiner for pod length and 100-seed weight and L24-2 as best combiner for seeds per pod,O O O O O O O O O O O O B-Agr O O I-Agr O O O O O O B-Agr O O
A prominent feature of these products is their large content in non-glycerine esters,O O O O O B-Agr O O O O O O B-Agr
Significant amounts of triterpenic alcohols and minor amounts of phytosterols are found,O O O O B-Agr O O O O B-Agr O O
Total consumption of wooden materials by the pulp industry attained in 1980 approximately 4 250 000 st which corresponds to twice the volume consumed in 1970,O B-Agr O O B-Agr O O B-Agr B-Agr O O O O O O O O O O O O O B-Agr O O O
Portuguese pulp imports always had little significance,O B-Agr B-Agr O O O O
Total annual consumption of waste paper was around 94 000 tons in the beginning of the period 1970-1980 and 161 000 tons at the end of the period,O O B-Agr O B-Agr I-Agr O O O O O O O O O O O O O O O O O O O O O O
External trade for waste paper was insignificant,O B-Agr O B-Agr I-Agr O O
Total production of paper products was approximately 208 000 tons and 520 000 tons in 1970 and 1980 respectively of which 7% and 28% respectively were exported,O B-Agr O B-Agr B-Agr O O O O O O O O O O O O O O O O O O O O O O
Morphological data are discussed in comparison with those obtained by previous authors in other species,O B-Agr O O O O O O O O O O O O B-Agr
Although the animals were mostly affected by encephalitozoonosis a chemical nephrotoxic action (antibiotic administration?) cannot be ruled out,O O B-Agr O O O O O O O O O O B-Agr O O O O
We met some problems concerning the vegetative multiplication in vitro of sugar beet particularly shoot induction and rooting,O O O O O O O O B-Agr I-Agr O B-Agr I-Agr O O O O B-Agr
The obtained values show a fast degradation of the active ingredient in host tissues; some days after application its content appears to be very low,O O O O O O B-Agr O O O O O O B-Agr O O O B-Agr O O O O O O O
The results are then discussed with reference to Italian regulations in force,O B-Agr O O O O O O O B-Agr O O
From roots of European vine undamaged and damaged by Phylloxera samples were taken in different Italian and Greek localities,O B-Agr O O O O O B-Agr O B-Agr B-Agr O O O O O O O O
In this paper we have tried to find a biophysical significance to this phenomenon,O O B-Agr O O O O O O O O O O O
In the latter case it has been possible to identify the larvae as Anisakis simplex according to their anatomical morphometric characters,O O O O O O O O O O O B-Agr O B-Agr O O O O O O O
Some considerations for inspections are added,O O O B-Agr O O
The problem of Heterocheilidiasis is pointed out in connection with the very abundant importing of fish products and the Italian techniques of gastronomic preparations,O O O O O O O O O O O O O O O B-Agr I-Agr O O O B-Agr O O O
Thus notable disparities between part-time farmers in different areas of the country have been created,O O O O O B-Agr O O B-Agr O O O O O O
The paper deals with the results of a research which aims at comparing net crop irrigation requirements for maize evaluated by using a mathematical model based on water balance of the root zone or experimentally evaluated,O B-Agr O O O B-Agr O O B-Agr O O O O O B-Agr B-Agr B-Agr O B-Agr O O O O O O O O B-Agr I-Agr O O O O O O O
With the help of these testimonies we could examine the life and the job of women who live in the Campidano of Cagliari,O O O O O O O O O O O O O O O B-Agr O O O O O O O
Therefore previous observations do not take into account this essential parameter which is very important for estimating crop water requirements,O O B-Agr O O O O O O O O O O O O O O B-Agr B-Agr I-Agr
With a proper nursery reshaping based on the annual requirements of seedlings the whole organization could be further improved in order to meet better management standards,O O O O O O O O O B-Agr O B-Agr O O B-Agr O O O O O B-Agr O O O B-Agr B-Agr
We have now after the Ferguson system some commercial devices with new structural arrangements but such a development comes from manufacturers' individual experience,O O O O O O O O O O O O O O O O O B-Agr O O O O O
This first paper presents the steady-state analysis of the top link sensing FIAT 450 draught control system; a mathematical model and a computer simulating program has been arranged in order to obtain system static response to different conditions and particularly to its own adjustments,O O B-Agr O O O B-Agr O O O O O O O O O O O O O O O O O O O O O O B-Agr O O O O O O O O O O O O O O
The best results have been observed in sandy soil,O O B-Agr O O O O O B-Agr
Nevertheless these results do not exclude that untreated wastewater used for irrigation in agriculture can pollute shallow acquifers,O O B-Agr O O O O O B-Agr I-Agr O B-Agr O B-Agr O O O O
Cytogenetic effects were studied at diakinesis-metaphase I of meiosis,O B-Agr O O O O O O B-Agr
This paper consists of three sections,O B-Agr O O O O
The first explains the most important greenhouse vegetable evolutions in Italy during the last 10-12 years and surveys weak spots and strong points in this agricultural field,O O O O O O O O B-Agr O B-Agr O O O O O O B-Agr O B-Agr O O B-Agr O O O O
The third analyses important aspects of greenhouse vegetable marketing in Italy and implications of EEC agricultural policy in the possibilities of exportation to EEC and other countries,O O O O O O O O B-Agr O B-Agr O O O O O O O O O O O O O O O B-Agr
In the author's opinion the future of this agricultural sector depends on a larger development of public agricultural research and extension and improvements of the EEC marketing policy,O O O O O O O O B-Agr I-Agr O O O O B-Agr O O B-Agr I-Agr O B-Agr O B-Agr O O O B-Agr O
As we didn't obtain significant results we applied the factorial analysis which doesn't require any description of phenomenon,O O O O O B-Agr O O O B-Agr I-Agr O O O O O O O
The problem of agricultural areas being 'marginal' ones with respect to those of touristic industrial and residential building expansion in becoming increasingly topical and complex due to the lack of clear relevant legislation,O O O O B-Agr O O O O O O O O O O O O O O O O O O O O O O O O O O O B-Agr
The aim of this study is to suggest methodology to be applied in studying and therefore controlling by means of regulations the agricultural areas while a General territorial Planning Scheme is being drafted,O O O O O O O O B-Agr O O O O O O O O O O O B-Agr O O B-Agr O O O O B-Agr O O O O
Publicly subsidised loans have also been subject to increasing rates,O O B-Agr O O O O O O O
Cooperative enterprise have been particularly affected since having little capital of their own they are obliged to raise loans for almost the whole of their needs,O O O O O O O O O B-Agr O O O O O O O O B-Agr O O O O O O B-Agr
To ascertain the influence of this aspect of financing on management results a study has been carried out on a large cooperative enterprise,O O O O O O O O B-Agr O B-Agr B-Agr O O O O O O O O O O O
In order to insert into the model activities which would be equivalent in financial terms a preliminary analysis has however been carried out using a procedure of discounted expected returns,O B-Agr O O O O O B-Agr O O O O O O O O O B-Agr O O O O O O O O O O O B-Agr
After illustrating the method used for processing the information the article describes the model used and comments on the results of the different solutions,O O O O O O B-Agr O B-Agr O O O O O O O O O O B-Agr O O O B-Agr
The study has investigated the effect of different methods of payment for members'labour and that of differentiated interest rates,O O O O O O O O B-Agr O O O O O O O O B-Agr I-Agr
Reciprocal effects did not persist in 1980,O B-Agr O O O O O
Rootlets of apple trees and soil samples were compared for mycorrhizal development in soil given 3 different treatments: bark mulch grass mulch mechanical and chemical weeding,O O O B-Agr O B-Agr B-Agr O O O O B-Agr O B-Agr O O O O B-Agr O O O O O O B-Agr
Spore number and mycorrhizal incidence were surveyed at different times of the year and different depth levels of soils,O O O O O O O O O B-Agr O O O O O B-Agr B-Agr O B-Agr
Spore number was influenced by soil treatment and was higher in soil with bark mulch and lowest in weeding soil,O O O O O B-Agr I-Agr O O O O B-Agr O B-Agr O O O O B-Agr B-Agr
The newly observed presence of the Varroa mite in Sardinia is discussed,O O O O O O B-Agr O O B-Agr O O
Emphasis is laid on recognition causes of diffusion control techniques and the need for careful attention on the part of the relative authorities,O O O O O O O B-Agr O B-Agr O O O O O O O O O O O O B-Agr
The author after mentioning the reasons behind salmonellae spreading in the environment and in breeding establishments illustrates the ways through which meat can be contaminated and the frequency of detection of these germs in commercial meat products,O O O O O O O O O O O B-Agr O O B-Agr O O O O O O B-Agr O O O O O O O B-Agr O O O O O B-Agr I-Agr
The original variety and the respective male-sterile line were sown in rows of different ratios: 1:1 2:1 3:1,O O B-Agr O O O O O O O O O O O O O O O
Data show a lower seed-set with a ratio of 1:1,B-Agr O O O B-Agr O O O O O
It is also active against Bacillus and clostridial spores,O O O O O B-Agr O O B-Agr
Excluding the weight of the egg production tended to decrease when methionine of contents were lower than 0,O O B-Agr O O B-Agr I-Agr O O O O B-Agr O O O O O O
The subsequent fermentation was effected on the mixture of this solution with the solid residue utilizing as fermenting agent a strain of Aspergillus isolated from the same grape-marc,O O B-Agr O O O O O O O O O O O O O O O O O O O B-Agr O O O O O
Fermentation at 46-47 deg C was essentially complete in less than 27 hours,B-Agr O O O O O O O O O O O O
The obtained meal contained roughly 28% of crude protein and had a total digestibility of 44%,O O O O O O O B-Agr I-Agr O O O O B-Agr O O
The soils of an area of about 7000 ha were classified,O B-Agr O O B-Agr O O O O O O
The descriptions and the analytical results are presented,O O O O O B-Agr O O
These results were obtained with 20 herds from 2 Sardinian typical areas (Italy),O B-Agr O O O O B-Agr O O O O B-Agr O
An industrial plant has been erected; the operating conditions of this technology have been controlled and the energetic and economic aspects estimated,O O O O O O O O O O O B-Agr O O O O O O O B-Agr I-Agr O
Plant characteristics methods and results are described and discussed,O O B-Agr O B-Agr O O O O
These results were obtained with cows of 20 herds from 2 typical Sardinian areas (Italy),O B-Agr O O O B-Agr O O B-Agr O O O O B-Agr O
None of the thesis has strongly influenced the production accumulated in 6 autumnal harvestings that had an average of 465 t/ha,O O O O O O O O B-Agr O O O O B-Agr O O O O O O O
In our previous research we found that the concentrations of some pollutants in terrestrial snails are directly related to contamination of the collection area,O O O B-Agr O O O O O O O B-Agr O O B-Agr O O O O B-Agr O O B-Agr B-Agr
A direct relation has been now demonstrated between the concentration of lead in shell and shell thickness of Helix spp,O O O O O O O O O O O B-Agr O O O O B-Agr O B-Agr O
Also no significant results were obtained in snails held in the laboratory for several weeks to decontaminate them,O O O B-Agr O O O B-Agr O O O O O O O O O O
The snails were fed with nutritional substances free of pollutants,O B-Agr O O O O B-Agr O O B-Agr
The digestibility in vivo of the resulting products was tested in bulls,O B-Agr O O O O O B-Agr O O O B-Agr
The third stage cut was 35-40 per cent lower in energy value and had about half the protein value compared to the first stage cut,O O O O O O O O O O B-Agr I-Agr O O O O O O I-Agr O O O O O O
This was due to changes in chemical composition (increase in crude fibre and reduction in protein and crude fat) and to lowered digestibility,O O O O O O B-Agr I-Agr O O B-Agr I-Agr O B-Agr O O O B-Agr I-Agr O O O B-Agr
These results were obtained with 35 herds from 2 typical Sardinian areas (Italy),O B-Agr O O O O B-Agr O O O O B-Agr O
In the present paper the first order partial correlation coefficients between the total and extractable boron molybdenum and cobalt with the other soil properties are interpreted for the concerned main group of samples,O O O B-Agr O O B-Agr O B-Agr O O O O O O B-Agr B-Agr O B-Agr O O O B-Agr I-Agr O O O O O O O O B-Agr
Testing for the sterol fraction enabled eight sterols to be separated and tentatively analysed by gas-liquid chromatography,B-Agr O O B-Agr O O O B-Agr O O O O O O O B-Agr B-Agr
Some problem was presented by Si surfaces which were then treated by a different calculation procedure,O O O O O O O O O O O O O O B-Agr O
The Stern layer thickness were very high for Si surfaces and increased with decreasing ionic strength,O O O B-Agr O O O O O O O O O O O B-Agr
A different behaviour was shown by Al and Fe hydroxides; in these cases values were very low and increased with increasing electrolyte concentration,O O B-Agr O O O O O O B-Agr O O O O O O O O O O O O O
These results were discussed in terms of surface structures and activity of the supporting electrolyte,O B-Agr O O O O O O B-Agr O O O O O O
"The author points out that the word ""veterinary"" means ""of animals"" and therefore expressions such as ""World Veterinary Association"" are incorrect because it means ""World Association of Animals""",O O B-Agr O O O O O O O B-Agr O O O O O O O O O O O O O O O O B-Agr
He suggests expressions where this problem of terminology is correctly solved and reminds us of successful expressions already used,O O O O O O O B-Agr O O O O O O O O O O O
The most widespread innovations in Italian citrus fruit production during the last decade have been biological (genetic development of new species) agronomical (localized irrigation systems) and the recent introduction of mechanical pruning,O O O B-Agr O O B-Agr O B-Agr O O O O O O O O B-Agr O B-Agr I-Agr O O B-Agr I-Agr O O O O O B-Agr I-Agr
The technical and economic effects of these innovations have been considerable and interdependent,O O O O B-Agr O O B-Agr O O O O O
Their effects on the citrus fruit market have also been notable; the new genetic species have led to improved quality and have extended the marketing calendar,O B-Agr O O B-Agr O O O O O O O O O B-Agr O O O O B-Agr O O O O B-Agr O
A number of meetings recently held in Italy pointed out that acquaculture could be a promising science for Italy which is so rich in aquatic resources (springs lakes rivers lagoons coasts and sea waters),O O O B-Agr O O O B-Agr O O O O O O O O O O B-Agr O O O O O B-Agr I-Agr O B-Agr B-Agr B-Agr B-Agr O O B-Agr
For the present time this technology is mostly applied in inland waters (trout catfish carp eel); however in the near future even species growing in salt and sea waters could be cultured (European bass sea bream and so on),O O O B-Agr O B-Agr O O O O B-Agr I-Agr O O B-Agr O O O O O O O B-Agr O O O O B-Agr I-Agr O O O O O B-Agr I-Agr O O O
This paper gives some indications about the aquaculture applications in Italy and abroad with notes about their probable developments,O B-Agr O O O O O B-Agr B-Agr O B-Agr O O O O O O O B-Agr
The present paper indicates the main parameters for selecting strains to be used in the preparation of starters for yoghurt,O O B-Agr O O O B-Agr O O B-Agr O O O O O O O O O B-Agr
An original method for checking the viscosity of yoghurt starters is also reported,O O O O O O B-Agr O B-Agr O O O O
Hypothetical causes of this dieback were presented and discussed,O O O O B-Agr O O O O
The article analyzes recent technical innovations in agriculture and considers their effects on the factors of production on the production process and on the product,O O O O O B-Agr O B-Agr O O O B-Agr O O B-Agr O B-Agr O O B-Agr O O O O O
An attempt is also made on the basis of ISTAT data to weigh the extent to which new technology depending on specialized outside services is affecting present agricultural development in the three main geographic regions of Italy,O O O O O O O O O O B-Agr O O O O O O B-Agr I-Agr O O O O B-Agr O O O B-Agr I-Agr O O O O O O O B-Agr
The dynamics of harvesting and also the following handling don't allow the possible persistence of seed contamination by this fungus,O B-Agr O B-Agr O O O O B-Agr O O O O B-Agr O B-Agr B-Agr O O O
Moreover as far as the virus is concerned they proved the existence of different strains in different geographical areas,O O O O O O O O O O O O O O B-Agr O O O B-Agr
Campylobacters were significantly (P005) more frequently isolated from young (less than 6 months old) cats and dogs,B-Agr O O O O O O O O O O O O O B-Agr O B-Agr
Finally we looked for some relationships among the HLB scales,O O O O O O O O O B-Agr
Independent of the polydispersity of the products,O O O O O O B-Agr
On the contrary the relationships between the water number and the Cloud Point or the phenol index can only exist for products having the same polydispersity,O O O O O O O B-Agr O O O O O O O O O O O O O B-Agr O O O O
Overall TSB head and feet proved to be more precocious than TSL and even more than TSF and KF,O O B-Agr O B-Agr O O O O O O O O O O O O O O
Heart and pulmonary complex seemed to be slower (in growth) compared with stomach intestine liver and kidneys,B-Agr O O O O O O O O B-Agr O O B-Agr O B-Agr O B-Agr
That goal has been achieved by the back-cross technique,O O O O O O O B-Agr O
In order to better understand important pedogenetic processes the possible mechanisms of formation of Al(OH(3)) from partially neutralized Al salt solutions have been examined,O B-Agr O O O O O I-Agr O O O O O O O O O O O O B-Agr O O O
The observations carried out by Martin method were: per cent of flowers with germinated stigma; per cent of flowers with germinated pollen; per cent of flowers with polline tubes coming inside the stiles,O B-Agr O O O O O O O O O B-Agr O O B-Agr O O O B-Agr O O B-Agr O O O B-Agr O O O O O O O
The creation of an organism apt to protect and promote Caluso wines is proposed,O O O O O O O O O O O B-Agr O O
Despite the political and economic significance of the subject little is known about comparative levels of fiscal pressure in EEC member countries,O O O O O O O O O O O O O O B-Agr O O B-Agr O O O B-Agr
Finally the results of a comparative analysis of fiscal pressure in agriculture in six member countries are presented,O O B-Agr O O B-Agr I-Agr O O B-Agr O B-Agr O O O B-Agr O O
In experimental science the calculation possibilities given by computers are applied to the characterization of unknown properties of some objects and to foresee their behaviour,O O O O B-Agr O O O B-Agr O O O O O O O B-Agr O O B-Agr O O O O B-Agr
In the aim to characterize their dynamics a series of data have been analyzed for the products in the title relating to the currency which forms the basis for the exchanges rates (dollar) its rate as to lira the raw materials intermediate and finished products prices,O O O O O O B-Agr O O O B-Agr O O O O O B-Agr O O O O O O O O O O O O O O O O O O O O O O B-Agr I-Agr O O O B-Agr B-Agr
The analysis has allowed us to obtain the wanted information and then to recognize some properties; these last have been utilized to standardize a previsional model that in the experimental assay shows very limited deviations as regards the real values,O B-Agr O O O O O O O B-Agr O O O O O B-Agr O O O O O O O O O O O O O O O O O O O O O O O O
The quality of extractable trace-elements was always low,O B-Agr O O O O O O
With the exception of Al all values were clearly discriminated with regard to cultivation pH and organic matter,O O O O O O O O O O O O O B-Agr O O B-Agr I-Agr
The probabilities of the significant allocution of trace-elements are such as to suggest that the area is very uniform,O O O O O O O O O O O O O O O B-Agr O O O
All the heifers received 50,O O B-Agr O O
The remaining species have been found either on new hosts or in new counties,O O B-Agr O O O O O O B-Agr O O O O
The morphological characters of fungus were described and germination of uredospores was tested,O O O O O O O O B-Agr O O O O
In the orchard infections increased after few rainy days and with a temperature between 19 and 21 deg C,O O O B-Agr O O O O O O O O B-Agr O O O O O O
Application of CaCO(3) significantly increased the dry matter yield of shoot and root of rice plant,B-Agr O O O O O B-Agr I-Agr O O O O O O B-Agr O
Exciting amount of heterosis to the extent of 233,O O O B-Agr O O O O O
In light of striking heterosis observed in the present studies the possibilities of hybrid rice have been discussed,O B-Agr O O B-Agr O O O O O O O O O B-Agr O O O
Three steps are necessary to ensure healthy plant material: (1) preparation of apropriate parent plants (2) hygiene in the nurseries (3) official guarantee of phytosanitary improvement,O O O O O O O B-Agr O O O O O O B-Agr O B-Agr O O O O O O O O B-Agr
The formal as well as the substantial guarantee of the phytosanitary improvement requires a double confirmation at different levels and from different institutions,O O O O O O O O O O O B-Agr O O O O O O B-Agr O O O B-Agr
The author presents a host-parasite check-list of the known helminth parasites in the wild animals of Mozambique,O O O O O O O O O O B-Agr O O B-Agr I-Agr O B-Agr
In addition the author presents the references to the original records of the parasites to each host in Mozambique,O O O O O O O O O O B-Agr O O B-Agr O O O O B-Agr
A comparison of the recombinants and parents revealed that the main traits of the kinetics of DNA accumulation can be recovered in the progeny and that dry matter and nitrogen accumulation are largely independent processes,O O O O O O B-Agr O O O O O O O O O B-Agr B-Agr O O O O O B-Agr O O B-Agr I-Agr O B-Agr B-Agr O O O B-Agr
A brief description is given of the transmissible grape infectious diseases present in Italy,O O O O O O O O O B-Agr I-Agr O O B-Agr
On the basis of the data achieved in several field surveys it has been possible to have an up-to-date situation about the sanitary condition of the grapevine in various areas of Piemonte and Emilia-Romagna regions,O O O O O B-Agr O O O O B-Agr O O O O O O O O O O O O O O O O O O B-Agr O O O O O
Acquired results indicate a low proportion of graft take and reduced rooting ability of infected propagating material,O B-Agr O O O O O O O O O B-Agr B-Agr O O O O
The cankers are almost always clearly caused by some defects in the grafting technique (particularly too tight a binding),O B-Agr O O O O O O O B-Agr O O B-Agr O O O O O O
Also pruning the stem during or after grafting must be avoided,O B-Agr O O O O O B-Agr O O O
The analysis of variance applied to the results of the organoleptic tests showed remarkable differences as far as colour taste and final judgement are concerned,O B-Agr I-Agr I-Agr O O O B-Agr I-Agr O O B-Agr O O O O O O B-Agr B-Agr O O O O O
It was reported that the fruit-set could be assured under low temperature conditions by parthenocarpic fruit development,O O O O O O O O O O O B-Agr O O O O B-Agr
The subject of this study is the thermal insulation of mutton sheep buildings in cold zones of Sardinia,O O O O O O O B-Agr I-Agr O B-Agr B-Agr B-Agr O B-Agr I-Agr O B-Agr
This advice is the result of analytical calculations referred to the third Italian climatic zone,O O O O O O O B-Agr O O O O O O O
Sodium hydroxide doesn't cause remarkable effects on the fibrous components of material: it follows instead an improvement of cellulase digestibility of organic matter: for the barks without treatment it has a mean value 21,B-Agr I-Agr O O O B-Agr O O O B-Agr O O O O O O B-Agr O B-Agr B-Agr O B-Agr I-Agr O O B-Agr O O O O O O O O
However with the exception of a single female all 59 specimens (25 female 34 male) studied had 1-5 minute accessory chromosomes,O O O O O O O O O O O O O O O O O O O O B-Agr
This is the first report of chromosomes of this type in the osteichthyes (Pisces),O O O O O O B-Agr O O O O O B-Agr O
"The protoplasts have been isolated from hand-brushed (by carborundum powder grade 800) leaves of ""in vitro"" grown plants",O B-Agr O O O O O O O O O O B-Agr O O I-Agr O B-Agr
On the basis of these results further researches have been carried out in order to induce mytosis and subsequently plant regeneration,O O O O O B-Agr O B-Agr O O O O O B-Agr O O O O O O B-Agr
The statistical elaboration of individual data concerning the different reproductive parameters allowed to obtain the average values of the breeding,O O O O O B-Agr O O O O B-Agr O O O O O O O O B-Agr
The health conditions were good and the replacement percentages small,O B-Agr O O O O O O O O
The most effective combinations of treatments gave about 75 per cent reduction of the disease severity and increased the yield from 34 to 50 per cent,O O O O O O O O O O O B-Agr O O B-Agr I-Agr O O O O O O O O O O
Every year in Italy 44,O O O B-Agr O
Comparing our own to various situations and researches abroad we can usefully examine methods and results,O O O O O O O B-Agr O O O O O B-Agr O B-Agr
The strains are sensitive to nitrite and lactate,O B-Agr O O O O O O
Technological aspects and solar typical components are briefly described in the first section,O O O O O B-Agr O O O O O O O
The animals were fed with hay and concentrate given in controlled quantities in relation to their live weight,O B-Agr O O O B-Agr O O O O O O O O O O B-Agr I-Agr
The plan of nutrition was the same in both groups,O O O B-Agr O O O O O B-Agr
The air temperature pattern is typical of a Mediterranean climate: the coldest month is January with the average minimum of 2,O B-Agr I-Agr O O O O O B-Agr I-Agr O O O O O O O O O O O
